ID;Year;Sources;Title;Analysis
619;2008;Engineering Village, SCOPUS;Project quality of off-shore virtual teams engaged in software requirements analysis: An exploratory comparative study;~IC1
620;2011;ScienceDirect;Proteomics by mass spectrometry—Go big or go home?;~IC1
621;2000;Engineering Village, SCOPUS;Providing quality of service monitoring: challenges and approaches;~IC1
622;2008;Engineering Village, SCOPUS;Putting business into business process models;OK
623;2001;Engineering Village, SCOPUS;QoS-aware middleware for ubiquitous and heterogeneous environments;OK
624;2003;SCOPUS;Quality of interactive models;~IC1
625;2012;ScienceDirect;Quantifying spatial and temporal variability of macroinvertebrate metrics;~IC1
626;2008;ACMDL;Rational quality requirements for medical software;~IC1
627;2014;Engineering Village, IEEE, SCOPUS;Rationalism with a dose of empiricism: Case-based reasoning for requirements-driven self-adaptation;OK
628;2004;Engineering Village;Real-time 3D transesophageal echocardiography;~IC1
629;2011;Engineering Village, IEEE, SCOPUS;Reasoning about adaptive requirements for self-adaptive systems at runtime;OK
630;2010;ACMDL;Reasoning about agents and protocols via goals and commitments;~IC1
631;2009;Engineering Village, IEEE, SCOPUS;Reasoning on Non-Functional Requirements for Integrated Services;OK
632;1998;ACMDL, IEEE, Web of Science;Reconciling system requirements and runtime behavior;OK
633;2004;Engineering Village, SCOPUS;Reconciling the system requirements process in changing business environments;~IC1
634;2005;Engineering Village;Reducing the risks of high pressure pumping;~IC1
635;2008;Engineering Village, SCOPUS, Web of Science;Refining goal models by evaluating system behaviour;OK
636;2010;Engineering Village, SCOPUS, Springer, Web of Science;RELAX: a language to address uncertainty in self-adaptive systems requirement;OK
637;2009;Engineering Village, IEEE, SCOPUS;RELAX: Incorporating Uncertainty into the Specification of Self-Adaptive Systems;OK
638;2012;ACMDL, Engineering Village, SCOPUS;Relaxing claims: Coping with uncertainty while evaluating assumptions at run time;OK
639;2005;SCOPUS;Remote control and monitoring of an underground robotic drilling equipment for landfill remediation;~IC1
640;2005;ACMDL;ReQuEst: Requirements-driven quality estimator;~IC1
641;2014;SCOPUS;Requirement analysis and metric development for public participatory GIS;OK
642;2011;SCOPUS;Requirement analysis in agile software development of distributed systems;~IC1
643;2011;SCOPUS;Requirement analysis of ubiquitous intelligence system for personal diet formulation and maintenance;~IC1
644;2006;SCOPUS;Requirement change management process models: Activities, artifacts and roles;~IC1
645;2006;Engineering Village, SCOPUS;Requirement error abstraction and classification: An empirical study;~IC1
646;2002;Engineering Village;Requirement specifications for an enterprise level collaborative, data collection, quality management and manufacturing tool for an EMS provider;~IC1
647;2004;Engineering Village, SCOPUS, Web of Science;Requirements analysis and a design of computational environment for HSE (human-sensibility ergonomics) simulator;~IC1
648;2010;Engineering Village, IEEE, SCOPUS;Requirements analysis for a traceability system for management wood supply chain on Amazon Forest;~IC1
649;2011;IEEE;Requirements Analysis for Run-Time Service Compositions;EC6
650;1996;IEEE;Requirements analysis from multiple perspectives: experiences with conceptual modeling technology;~IC1, EC2
651;2009;IEEE;Requirements Analysis of Real-Time Systems by Rational-Rose UML;~IC1
652;2013;Engineering Village, SCOPUS;Requirements and architectures for adaptive systems;OK
653;2008;Engineering Village, IEEE, SCOPUS;Requirements Capture with RCAT;OK
654;2007;Engineering Village, SCOPUS;Requirements change management process models: An evaluation;~IC1
655;2000;IEEE;Requirements documentation: why a formal basis is essential;EC2
656;2009;IEEE;Requirements Elicitation in a Telemedicine Pain-treatment Trial;OK
657;2000;Engineering Village;Requirements engineering and management: The key to designing quality complex systems;~IC1
658;2014;ACMDL;Requirements engineering approach for real-time and embedded systems: a case study of android-based smart phone devices;~IC1
659;2009;Engineering Village, SCOPUS;Requirements engineering based on business process models: A case study;~IC1
660;2010;Engineering Village, IEEE, SCOPUS;Requirements Engineering for Adaptive Service Based Applications;OK
661;2008;ACMDL;Requirements engineering for home care technology;~IC1
662;2000;ACMDL;Requirements engineering for product families;~IC1
663;2011;Engineering Village, SCOPUS;Requirements engineering for self-adaptive systems: Core ontology and problem statement;OK
664;2008;Engineering Village, SCOPUS;Requirements engineering for software in emerging markets;~IC1
665;2000;ACMDL;Requirements engineering in the year 00: a research perspective;~IC1
666;2014;IEEE;Requirements Engineering process for Software-as-a-Service (SaaS) cloud environment;~IC1
667;2009;Engineering Village, SCOPUS, Web of Science;Requirements Evolution and What (Research) to Do about It;OK
668;2011;Engineering Village, SCOPUS, Web of Science;Requirements Evolution: From Assumptions to Reality;OK
669;2003;ACMDL;Requirements interaction management;~IC1
670;2001;IEEE;Requirements modeling for organization networks: a (dis)trust-based approach;OK
671;2011;IEEE, SCOPUS;Requirements models at run-time to support consistent system evolutions;OK
672;2013;ACMDL, Engineering Village, IEEE, SCOPUS, Web of Science;Requirements models for design- and runtime: A position paper;OK
673;2012;Engineering Village, SCOPUS;Requirements monitoring for adaptive service-based applications;OK
674;1995;Engineering Village, SCOPUS;Requirements monitoring in distributed environments;OK
675;1995;IEEE;Requirements monitoring in dynamic environments;OK
676;2006;Engineering Village;Requirements of quality of service in wireless sensor network;~IC1
677;2010;ACMDL, Engineering Village, IEEE, SCOPUS;Requirements reflection: requirements as runtime entities;OK (CA4)
678;2001;Engineering Village;Requirements specification for health monitoring systems capable of resolving flight control system faults;~IC1
679;2009;Engineering Village, SCOPUS;Requirements tracing to support change in dynamically adaptive systems;OK
680;2005;IEEE;Requirements uncertainty: influencing factors and concrete improvements;~IC1
681;2007;Engineering Village;Requirements validation testing on the 7 optical fiber array connector/cable assemblies for the lunar reconnaissance orbiter (LRO);~IC1
682;2010;Engineering Village, IEEE, SCOPUS;Requirements-Aware Systems: A Research Agenda for RE for Self-adaptive Systems;OK
683;2001;Engineering Village, IEEE, SCOPUS;Requirements-based dynamic metrics in object-oriented systems;~IC1
684;2011;IEEE;Requirements-driven adaptation: Compliance, context, uncertainty, and systems;OK
685;2013;IEEE;Requirements-driven adaptive digital forensics;OK
686;2012;Engineering Village, IEEE, SCOPUS;Requirements-driven adaptive security: Protecting variable assets at runtime;OK
687;2007;Engineering Village, SCOPUS, Web of Science;Requirements-driven design and configuration management of business processes;OK
688;2006;ACMDL, Engineering Village, SCOPUS;Requirements-driven design of autonomic application software;OK
689;2012;Engineering Village, SCOPUS;Requirements-driven qualitative adaptation;OK
690;2015;Engineering Village, IEEE, SCOPUS, Web of Science;Requirements-Driven Self-Optimization of Composite Services Using Feedback Control;OK
691;2014;Engineering Village, SCOPUS;Requirements-driven social adaptation: Expert survey;~IC1
692;2013;Engineering Village, SCOPUS, Springer;Requirements-driven software evolution;OK
693;2007;ACMDL;Research Directions in Requirements Engineering;~IC1
694;2010;SCOPUS;Research of GIS based comprehensive monitoring technology for wind farms;~IC1
695;2014;IEEE;Research of performance test technology for big data applications;~IC1
696;2013;Engineering Village;Research on intelligent monitoring system of Fangcheng Port's bulk cargo ship unloader;~IC1
697;2010;SCOPUS;Research on monitoring quality of 3G streaming media service;~IC1
698;2014;SCOPUS;Research on teaching evaluation system modeling based on UML;~IC1
699;2001;Engineering Village, IEEE, SCOPUS;Residual requirements and architectural residues;OK
700;1999;Engineering Village, SCOPUS;Residual test coverage monitoring;~IC1
701;2008;ACMDL;RGPS: a unified requirements meta-modeling frame for networked software;~IC1
702;2010;Engineering Village, IEEE, SCOPUS;Risk-based Confidentiality Requirements Specification for Outsourced IT Systems;~IC1
703;1993;Engineering Village;Risk-based requirements analysis: A holistic approach to aerospace system condition monitoring;~IC1
704;2014;Engineering Village, SCOPUS, Web of Science;Robotics and artificial intelligence: A perspective on deliberation functions;~IC1
705;2010;Engineering Village, SCOPUS;Round tripping in component based software development;OK
706;2011;ACMDL;Rule-based context-aware adaptation using a goal-oriented ontology;OK
707;2012;Engineering Village, IEEE, SCOPUS;Run-time model evaluation for requirements model-driven self-adaptation;OK
708;2005;Engineering Village;Run-time monitoring of requirements for systems composed of Web-services: Initial implementation and evaluation experience;OK
709;2010;Engineering Village, IEEE, SCOPUS;Run-time monitoring of system performance: A goal-oriented and system architecture simulation approach;~IC1
710;2011;Engineering Village, IEEE, SCOPUS, Web of Science;Run-time resolution of uncertainty;OK
711;2010;SCOPUS;Runtime adaptability through automated model evolution;OK
712;2013;Engineering Village, IEEE, SCOPUS;Runtime goal models: Keynote;OK
713;2011;ACMDL, Engineering Village, SCOPUS;Runtime models for automatic reorganization of multi-robot systems;OK
714;2009;Engineering Village, IEEE, SCOPUS;Runtime monitoring of cross-cutting policy;OK
715;2007;Engineering Village, SCOPUS;Runtime service discovery and reconfiguration using OWL-S based semantic web service;OK
716;2007;Engineering Village, SCOPUS;Runtime verification and monitoring of embedded systems;OK
717;2009;ACMDL, Engineering Village, SCOPUS;RUP-based process model for security requirements engineering in value-added service development;~IC1
718;2009;ACMDL;Rôle of domain engineering in software development—why current requirements engineering is flawed !;~IC1
719;2014;Springer;SAT based enforcement of domotic effects in smart environments;OK
720;2013;Engineering Village;Satisficing-based approach to resolve feature interactions in control systems;OK
721;2011;Engineering Village, SCOPUS, Web of Science;Satisfying user needs at the right time and in the right place: A research preview;OK
722;2007;Engineering Village, SCOPUS;SBPM 2007 - Proceedings of the Workshop on Semantic Business Process and Product Lifecycle Management, Held in Conjunction with the 3rd European Semantic Web Conference, ESWC 2007;EC5
723;2011;IEEE;Scenario-Based Specification of Automotive Requirements With Quantitative Constraints and Synthesis of SL/SF Monitors;OK
724;2012;Engineering Village, SCOPUS;Scenario-driven development of context-aware adaptive web services;OK
725;2005;ACMDL;Scheduling and memory requirements analysis with AADL;~IC1
726;2007;IEEE;Secure and dependable patterns in organizations: an empirical approach;~IC1
727;2007;Engineering Village, SCOPUS;Secure service orchestration;OK
728;2008;Engineering Village, IEEE, SCOPUS, Web of Science;Secure Workflow Development from Early Requirements Analysis;~IC1
729;2012;SCOPUS;SecuriTAS: A tool for engineering adaptive security;OK
730;2013;SCOPUS;Security requirement of end point security software;~IC1
731;2011;Engineering Village, IEEE, SCOPUS;Security Requirements Analysis, Specification, Prioritization and Policy Development in Cyber-Physical Systems;~IC1
732;2012;Engineering Village, SCOPUS;Security threats and security policy in wireless sensor networks;~IC1
733;2006;Engineering Village;Selective code/data migration for reducing communication energy in embedded MpSoC architectures;~IC1
734;2014;ACMDL;Self-adaptation through incremental generative model transformations at runtime;OK
735;2013;Engineering Village, SCOPUS;Self-adaptive systems requirements modelling: Four related approaches comparison;OK
736;2014;SCOPUS;Self-explanation in adaptive systems based on runtime goal-based models;OK
737;2009;Engineering Village, IEEE, SCOPUS, Web of Science;Self-Repair through Reconfiguration: A Requirements Engineering Approach;OK
738;2012;Engineering Village, SCOPUS, ScienceDirect, Web of Science;Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop;OK
739;2010;Engineering Village, IEEE, SCOPUS;Self-Tuning of Software Systems Through Goal-based Feedback Loop Control;OK
740;2001;IEEE;Semantic models for knowledge management;OK
741;2014;Engineering Village, IEEE, SCOPUS;Semantic requirements analysis for the Integrated Earth Observation Sensor Web for the digital earth;~IC1
742;2009;ACMDL;Semantic vs. syntactic compositions in aspect-oriented requirements engineering: an empirical study;~IC1
743;2005;Engineering Village;Semi-supervised support vector machines for data classification with uncertainty;~IC1
744;2014;Engineering Village, IEEE, SCOPUS;Semiautomatic security requirements engineering and evolution using decision documentation, heuristics, and user monitoring;~IC1
745;2011;ACMDL;Separation of scattered concerns: a graph based approach for aspect mining;~IC1
746;2011;SCOPUS;Service level agreement parameter matching in cloud computing;~IC1
747;2007;Engineering Village, SCOPUS, Web of Science;Service level agreements: Web services and security Web Engineering, Proceedings;EC5
748;2008;IEEE;Service-Centric Systems and Requirements Engineering;EC5
749;2012;Engineering Village, IEEE, SCOPUS, Web of Science;Service-Driven Migrating of Enterprise Information Systems: A Case Study;OK
750;2006;IEEE;Servicing Your Requirements;~IC1
751;2007;Engineering Village, SCOPUS;Setting and evaluation of flexible points on software user interface;~IC1
752;2010;Engineering Village, SCOPUS;SIGAda 2010 - Proceedings of the 2010 ACM International Conference on Ada and Related Technologies;EC5
753;2005;IEEE;Signal processing for estimating energy expenditure of elite athletes using triaxial accelerometers;~IC1
754;2002;Engineering Village, IEEE;SIMOO-RT - An object-oriented framework for the development of real-time industrial automation systems;OK
755;2009;Engineering Village, IEEE, SCOPUS, Web of Science;Situ: A Situation-Theoretic Approach to Context-Aware Service Evolution;OK
756;2007;Engineering Village, SCOPUS;Smart distribution of bio-signal processing tasks in M-health;~IC1
757;2011;Engineering Village, SCOPUS, Web of Science;Smart Work Workbench;OK
758;2012;SCOPUS;Social media in the context of academic marketing: Case study: Evaluation of the umwelt-campus campaign;~IC1
759;2011;Engineering Village, SCOPUS;Social sensing: When users become monitors;OK
760;2011;Engineering Village, IEEE, SCOPUS;Social Software Product Lines;OK
761;2011;IEEE;Social threats and the new challenges for Requirements Engineering;~IC1
762;2013;IEEE;Socially-Augmented Software: Empowering Software Operation Through Social Contacts;~IC1
763;2014;Engineering Village, SCOPUS;SOFSEM 2014: Theory and Practice of Computer Science - 40th International Conference on Current Trends in Theory and Practice of Computer Science, Proceedings;EC5
764;2014;ACMDL;Softgoal-based plan selection in model-driven BDI agents;OK
765;2010;Engineering Village, IEEE, SCOPUS;Software architecture for the ECU of automated manual transmission;~IC1
766;2014;Engineering Village, SCOPUS;Software evaluation via users' feedback at runtime;OK
767;2012;IEEE;Software Product Line Engineering for Developing Self-Adaptive Systems: Towards the Domain Requirements;OK
768;2011;Engineering Village, IEEE, SCOPUS;Software requirements change taxonomy: Evaluation by case study;~IC1
769;1999;Engineering Village;Software reuse measure: Monitoring an enterprise-level model driven development process;~IC1
770;2009;ACMDL, Engineering Village, SCOPUS;Software self-reconfiguration: A BDI-based approach;OK
771;2006;Engineering Village;Software tool construction for deployment of JMX services in distributed testbeds;~IC1
772;1991;Engineering Village, SCOPUS;Space-based AFSCN augmentation system;~IC1
773;2009;ScienceDirect;Specifications for trueness and precision of a reference measurement system for serum/plasma 25-hydroxyvitamin D analysis;~IC1
774;2009;Engineering Village, IEEE, SCOPUS;Specifying and Monitoring Interactions and Commitments in Open Business Processes;OK
775;2007;Engineering Village, IEEE, SCOPUS;Specifying Monitoring and Switching Problems in Context;OK
776;2009;Engineering Village, SCOPUS;Specifying requirements for real-time systems;OK
777;1993;Web of Science;STATE-BASED MODEL CHECKING OF EVENT-DRIVEN SYSTEM REQUIREMENTS;~IC1
778;2012;Engineering Village, IEEE, SCOPUS;Stateful requirements monitoring for self-repairing socio-technical systems;OK
779;2004;Engineering Village;Strategies for handling the activity problem in runtime software evolution by reducing activity;OK
780;1998;Engineering Village;Strategy scorecards;~IC1
781;2011;ACMDL;Stream: a strategy for transition between requirements models and architectural models;~IC1
782;2005;Engineering Village;Structural rehabilitation of the Heart Lake tunnel;~IC1
783;2011;Engineering Village, Web of Science;Study of Goal-oriented Migrating Workflow System based on Mobile Computing Paradigm;~IC1
784;2009;Engineering Village, IEEE, SCOPUS, Web of Science;Study on China Digital Ocean Prototype System;~IC1
785;2013;Engineering Village;Studying system analysis for knowledge reasoning component-based;OK
786;2013;Engineering Village, IEEE, SCOPUS, Web of Science;Support for intention driven cloud government entitlement services;~IC1
787;2005;Engineering Village, IEEE, SCOPUS, Web of Science;Support vector machines for quality monitoring in a plastic injection molding process;~IC1
788;2000;Engineering Village, IEEE, SCOPUS;Supporting and monitoring the creativity of IS personnel during the requirements engineering process;~IC1
789;2013;Engineering Village, SCOPUS;Supporting decision-making for self-adaptive systems: From goal models to dynamic decision networks;OK
790;2002;Engineering Village, SCOPUS;Supporting event based traceability through high-level recognition of change events;~IC1
791;2013;IEEE;Supporting Model-Driven Requirements Management in the Embedded Systems Domain;~IC1
792;2002;Engineering Village, SCOPUS;Supporting objects in run-time bytecode specialization;~IC1
793;2008;IEEE;Supporting Requirements Change Management in Goal Oriented Analysis;~IC1
794;2007;ACMDL;Switch or Struggle: Risk Assessment for Late Integration of COTS Components;~IC1
795;2010;ACMDL;Synthesis of live behaviour models;OK
796;2013;SCOPUS;Synthesis of observers for autonomic evolutionary systems from requirements models;OK
797;2010;ACMDL;SysML-based requirement modeling environment for multicore embedded system;~IC1
798;2011;ACMDL;System identification for adaptive software systems: a requirements engineering perspective;OK
799;2014;IEEE;System of systems capability to requirements engineering;~IC1
800;2014;Engineering Village, SCOPUS;System requirements for an advanced cockpit to reduce workload and stress;~IC1
801;2011;Engineering Village, SCOPUS, Web of Science;Systematic Development of UMLsec Design Models Based on Security Requirements;~IC1
802;2013;IEEE;Table of contents;EC5
803;2014;Engineering Village, SCOPUS;Taking care of elderly people with chronic conditions using ambient assisted living technology: The ADVENT perspective;~IC1
804;2014;Engineering Village, IEEE, SCOPUS;Taking goal models downstream: A systematic roadmap;EC5
805;2010;Engineering Village, IEEE, SCOPUS;Tarmac delay surveillance and mitigation system: Requirements analysis for NextGen;~IC1
806;2014;SCOPUS;Telemonitoring of patients with Parkinson's disease using inertia sensors;~IC1
807;2012;ACMDL;Testing highly complex system of systems: an industrial case study;~IC1
808;2014;Engineering Village, ScienceDirect, SCOPUS, Web of Science;The actor's view of automated planning and acting: A position paper;~IC1
809;2006;Engineering Village, SCOPUS;The application of B-bpline neurofuzzy networks for condition monitoring of metal cutting tool;~IC1
810;2005;ACMDL;The application of compile-time reflection to software fault tolerance using ada 95;~IC1
811;1992;IEEE;The ASPIRE approach to continuous software process improvement;~IC1
812;2007;Engineering Village, SCOPUS;The business process knowledge framework;~IC1
813;2014;IEEE;The business requirements and technical fabric for the Smart City;~IC1
814;2011;ACMDL;The Capture Calculus Toolset;~IC1
815;2008;ACMDL;The design and implementation of land-based target system for Korean destroyer combat systems;~IC1
816;2005;SCOPUS;The design of smart homes for people with dementia - User-interface aspects;~IC1
817;2014;Engineering Village;The design of the european ground systems - Common core (EGS-CC);~IC1
818;2006;Engineering Village;The development, implementation and future of the AGS data formats for the transfer of geotechnical and geoenvironmental data by electronic means;~IC1
819;2015;Engineering Village, SCOPUS;The e-mobility case study;OK
820;2005;Engineering Village, SCOPUS;The Eclipse 3.0 platform: Adopting OSGi technology;~IC1
821;2009;Engineering Village, SCOPUS, Web of Science;The Explore of the Law Role in Software Requirements Engineering;EC5
822;1997;IEEE;The integrated specification and analysis of functional, temporal, and resource requirements;OK
823;2001;Engineering Village, SCOPUS;The integration of virtual instruments into pipeline LPG network monitoring system;~IC1
824;2007;Engineering Village, SCOPUS;The interface of VISTO, a new vector image search tool;~IC1
825;2005;Engineering Village, SCOPUS;The MAIS approach to web service design;OK
826;2014;ACMDL;The many faces of operationalization in goal-oriented requirements engineering;OK
827;2012;SCOPUS;The multi-processor scheduling problem in phylogenetics;~IC1
828;2014;Engineering Village, IEEE, SCOPUS;The observer-based technique for requirements validation in embedded real-time systems;~IC1
829;1999;IEEE;The process of inconsistency management: a framework for understanding;OK
830;2014;ACMDL, Engineering Village, SCOPUS;The requirements problem for adaptive systems;OK
831;2012;Engineering Village, SCOPUS;The research of software requirements analysis of core needs;~IC1
832;2005;Engineering Village, IEEE, SCOPUS, Web of Science;The role of deferred requirements in a longitudinal study of emailing;OK
833;2007;Engineering Village, SCOPUS;The role of roles in supporting reconfigurability and fault localizations for open distributed and embedded systems;OK
834;2007;ACMDL;The role of the software practitioner in the development of public safety software-intensive systems;~IC1
835;1998;ACMDL;The Safety Requirements Engineering Dilemma;~IC1
836;2011;ScienceDirect;The Significance of Endoleaks in Thoracic Endovascular Aneurysm Repair;~IC1
837;2004;Engineering Village;The think aloud method: A guide to user interface design;~IC1
838;1994;Springer;The user modeling shell system BGP-MS;OK
839;2014;IEEE;The Weighted Decision Matrix: Tracking Design Decisions in Service Compositions;OK
840;2014;ACMDL;To connect or not to connect: experiences from modeling topological variability;~IC1
841;2012;IEEE;Tool support for combined rule-based and goal-based reasoning in Context-Aware systems;OK
842;2007;ACMDL;Tool Support for Inspecting the Code Quality of HPC Applications;~IC1
843;2013;ACMDL;Tool support for semantic task modeling;~IC1
844;2007;ACMDL;Toward a text classification system for the quality assessment of software requirements written in natural language;~IC1
845;2005;Engineering Village, SCOPUS, Web of Science;Toward improvement-oriented reuse of experience in engineering design processes;OK
846;2011;IEEE;Toward Inconsistency Awareness in Collaborative Software Development;OK
847;2010;IEEE;Towards a continuous requirements engineering framework for self-adaptive systems;OK
848;2011;IEEE;Towards a framework for describing cloud service characteristics for use by chief information officers;OK
849;2012;Engineering Village, SCOPUS, Web of Science;Towards a goal-driven approach to action selection in self-adaptive software;OK
850;2011;ACMDL;Towards a requirements-driven framework for detecting malicious behavior against software systems;OK
851;2009;IEEE;Towards a Unified Framework for Contextual Variability in Requirements;~IC1
852;2005;Engineering Village, SCOPUS;Towards a Universal Access code of practice in health telematics;~IC1
853;2011;Engineering Village, SCOPUS;Towards adaptive systems through requirements@runtime?;OK
854;2006;IEEE;Towards an Integrated Approach for Aspectual Requirements;~IC1
855;2001;Engineering Village, SCOPUS;Towards automatically configurable multimedia applications;OK
856;2007;Engineering Village, SCOPUS;Towards autonomic management of communications networks;~IC1
857;2009;SCOPUS;Towards development of Web applications based on User Interface Services - A requirement analysis;~IC1
858;2012;Engineering Village, IEEE, SCOPUS;Towards Dynamic Evolution of Self-Adaptive Systems Based on Dynamic Updating of Control Loops;OK
859;2007;ACMDL;Towards evolution of strategic IT requirements;~IC1
860;2014;IEEE;Towards feature-oriented requirements validation for automotive systems;~IC1
861;2008;Engineering Village, SCOPUS, Web of Science;Towards Goal-Driven Self Optimisation of Service Based Applications;OK
862;2014;SCOPUS;Towards monitoring cloud services using Models@run.time;OK
863;2008;IEEE;Towards Requirements Engineering in a Service-Oriented Environment--Extending the SOA Interaction Triangle;~IC1
864;2005;ACMDL;Towards requirements-driven autonomic systems design;OK
865;1998;IEEE, Web of Science;Towards reusable colored Petri nets;~IC1
866;2008;IEEE;Towards Seamless Adaptation: An Agent-Oriented Approach;OK
867;2007;Engineering Village, SCOPUS;Towards security monitoring patterns;OK
868;2010;Engineering Village, IEEE, SCOPUS;Towards Self-Managed Systems Aware of Economic Value;OK
869;2012;SCOPUS;Towards smart user interface design;~IC1
870;2001;Engineering Village, SCOPUS;Towards support for ad-hoc multimedia bindings;OK
871;2010;ACMDL;Towards the identification of Guilty performance antipatterns;~IC1 EC2
872;2007;Engineering Village, SCOPUS;Towards variability design as decision boundary placement;OK
873;2014;IEEE;Traceability-enabled refactoring for managing just-in-time requirements;~IC1
874;2005;Engineering Village, SCOPUS;Tracing cross-cutting requirements via context-based constraints;OK
875;2007;ACMDL, Engineering Village, SCOPUS, Web of Science;Trade-off between performance and energy consumption in Wireless Sensor Networks;~IC1
876;2006;SCOPUS, ScienceDirect;Transaction management for m-commerce at a mobile terminal;~IC1
877;1999;Engineering Village;Transarctic acoustic propagation experiment and climate monitoring in the Arctic;~IC1
878;2007;Engineering Village;Transitioning to the community: Bridging gaps in patient care;~IC1
879;2010;ACMDL;transML: a family of languages to model model transformations;~IC1
880;2011;IEEE;Trustworthy Path Discovery in MANET -- A Message Oriented Cross-Correlation Approach;~IC1
881;2004;Engineering Village, SCOPUS;Twelfth ACM SIGSOFT International Symposium on the Foundations of Software Engineering, SIGSOFT 2004/FSE-12;EC5
882;2004;Engineering Village;Ultrasonography in follow-up of soft tissue augmentation of the face with synthetic materials: A pilot study;~IC1
883;2014;Engineering Village, ScienceDirect, SCOPUS, Web of Science;Uncertainty handling in goal-driven self-optimization - Limiting the negative effect on adaptation;OK
884;2012;Engineering Village, SCOPUS;Uncertainty modeling of self-adaptive software requirement;OK
885;2014;ACMDL;Uncertainty, risk, and information value in software requirements and architecture;~IC1
886;2012;IEEE;Uncovering requirements using serious games;~IC1
887;1992;IEEE;Understanding operators' information needs for system design;~IC1
888;2000;Engineering Village, SCOPUS;Unified compiler framework for control and data speculation;~IC1
889;1998;Engineering Village, SCOPUS;Use case maps as architectural entities for complex systems;~IC1
890;2009;IEEE;Use Case to Source Code Traceability: The Developer Navigation View Point;OK
891;2010;Engineering Village;User requirement analysis for personalized cancer dietary planning and menu construction;~IC1
892;2006;IEEE;Using Aspects to Simplify iModels;~IC1, EC2
893;2005;IEEE;Using black-box persistent state manifest for dependency management in patching and upgrading J2EE based applications;~IC1
894;2012;ACMDL;Using complementary models-based approaches for representing and analysing ATM systems' variability;~IC1
895;2000;IEEE;Using databases to streamline Test Program Set development;~IC1
896;2002;Engineering Village, SCOPUS;Using execution trace data to improve distributed systems;~IC1
897;2013;Engineering Village, IEEE, SCOPUS;Using goals and customizable services to improve adaptability of process-based service compositions;OK
898;2002;Engineering Village, SCOPUS;Using indexed data structures for program specialization;~IC1
899;2007;Engineering Village, SCOPUS;Using Microcomponents and Design Patterns to Build Evolutionary Transaction Services;OK
900;2008;Engineering Village;Using process models for the design of service-oriented architectures: Methodology and E-commerce case study;~IC1
901;2005;IEEE;Using Rationale for Software Engineering Education;~IC1
902;2002;Engineering Village, SCOPUS;Using reflection as a mechanism for enforcing security policies on compiled code;~IC1
903;2012;SCOPUS, ScienceDirect, Web of Science;Using RELAX, SysML and KAOS for Ambient Systems Requirements Modeling;OK
904;2013;SCOPUS;Using requirements models at runtime: Potential and challenges [Usando Modelos de Requisitos em Tempo de Execução: Potencial e Desafios];EC3
905;2007;Engineering Village, SCOPUS;Using stakeholder-driven process performance measurement for monitoring the performance of a Scrum-based software development process;~IC1
906;2009;IEEE;Utilizing Rule Deviations in IT Ecosystems for Implicit Requirements Elicitation;OK
907;2008;IEEE;Utilizing security requirements engineering methods for operational security maintenance purposes;OK
908;2012;SCOPUS, ScienceDirect, Web of Science;Value models for engineering of complex sustainable systems;~IC1
909;2003;ACMDL;Value-based software engineering;~IC1
910;2007;IEEE;Visual Support In Automated Tracing;~IC1
911;1994;SCOPUS, ScienceDirect, Web of Science;Visualization of conceptual specifications;~IC1
912;2007;Engineering Village, IEEE, SCOPUS;Visualizing the Analysis of Dynamically Adaptive Systems Using i* and DSLs;OK
913;2011;IEEE;Vote casting device with VV-SV-PAT for elections with complicated ballot papers;~IC1
914;2014;IEEE;Weaving a carpet from log entries: A network security visualization built with co-creation;~IC1
915;2003;IEEE;Web agents for requirements consistency management;OK
916;2009;Engineering Village;Wetting and drying responses of gas diffusion layers and proton exchange membrane to current transients;~IC1
917;1997;IEEE;What's the use of requirements engineering?;~IC1
918;2008;Engineering Village, SCOPUS;When to adapt? Identification of problem domains for adaptive systems;~IC1
919;2009;ACMDL;When users become collaborators: towards continuous and context-aware user input;~IC1
920;2005;IEEE;Why context matters - and what can we do about it?;~IC1
921;2014;IEEE;Wireless communication in process control loop: Requirements analysis, industry practices and experimental evaluation;~IC1
922;2010;Engineering Village, SCOPUS;Wireless Sensor Networks for Structural Health Monitoring: Considerations for communication protocol design;~IC1
923;2007;Engineering Village, SCOPUS;Workflow automation for processing plasma fusion simulation data;~IC1
924;2008;SCOPUS;Workflow resource requirement modeling and analysis;~IC1
925;2006;Engineering Village, SCOPUS;WSCPC: An architecture using semantic web services for collaborative product commerce;~IC1
926;2001;IEEE;XML-based method and tool for handling variant requirements in domain models;~IC1
